label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
3	217 kg	2.2123	tennis	rat	1308 kg/s	0.1474	-0.2787	-0.4192	1.2749	0.7542
5	-179 kg	0.0326	boxing	ferret, rabbit	1006 kg/s	-0.8953	0.9453	1.6396	0.9079	0.1106
6	1138 kg	0.523	ice hockey	dog	1974 kg/s	0.2131	-0.2273	1.1091	0.2042	0.2844
3	596 kg	0.1486	tennis	chicken	-108 kg/s	0.1943	0.86	-0.6657	1.0654	0.1654
5	151 kg	0.0607	soccer	rabbit, ferret	-486 kg/s	1.4842	-0.2937	0.0135	0.9884	-0.2622
4	1318 kg	0.1561	basketball	guinea pig	-1208 kg/s	-0.0481	0.6867	1.3522	0.5019	2.1067
0	660 kg	1.4465	motor sports	bird	3415 kg/s	0.2645	0.4527	3.4734	0.1442	-0.4719
5	96 kg	0.4736	soccer	hamster, rabbit	186 kg/s	NULL	0.3811	0.9334	0.5847	-0.8347
3	225 kg	0.0632	tennis	rat	918 kg/s	0.4451	0.5145	-0.2716	2.3683	1.1676
0	-282 kg	1.0219	running	bird	263 kg/s	0.4652	0.1178	1.2656	1.5833	-0.5147
2	908 kg	0.0301	ice hockey	fish	319 kg/s	0.0416	0.402	-0.6958	-1.1529	1.855
1	851 kg	0.1722	volleyball	cat, pig	1136 kg/s	1.3563	-0.1146	-0.1047	0.7701	1.7683
3	1081 kg	1.0274	tennis	chicken	990 kg/s	-0.1398	-0.1914	1.2624	0.1028	-0.1566
2	946 kg	0.2944	football	fish	-1296 kg/s	0.9808	0.1058	-0.4371	1.4266	-0.8327
1	-575 kg	-0.2403	volleyball	pig, reptile	152 kg/s	0.3214	-0.9464	-1.3966	0.3883	1.0911
1	1062 kg	-0.0527	baseball	REPTILE	-937 kg/s	0.9264	-0.117	0.0007	1.1782	0.6176
2	349 kg	0.679	track & field	fish	-157 kg/s	0.5701	0.2578	1.3618	-0.4991	1.4422
4	190 kg	0.3477	basketball	guinea pig	410 kg/s	-0.3303	1.5299	0.7247	0.8326	1.1493
3	1511 kg	1.5365	tennis	rat	449 kg/s	0.0468	0.3298	-0.9717	1.0989	0.6129
2	-814 kg	-0.859	tennis	cat	891 kg/s	0.6995	1.389	-0.0787	-0.4319	-0.8951
5	2109 kg	-0.1999	soccer	rabbit, ferret	-786 kg/s	-1.0781	1.2287	-0.999	-0.6525	0.2354
6	336 kg	0.2905	golf	dog	873 kg/s	1.0422	1.6353	0.6628	1.5576	0.8227
2	-64 kg	1.6822	track & field	fish	n/a	0.4032	0.3461	0.7704	1.2361	0.6401
2	1244 kg	-0.374	track & field	fish	-386 kg/s	0.0926	1.7578	1.4746	-1.0722	-0.3697
2	1217 kg	0.0445	track & field	fish	-521 kg/s	0.3398	0.8381	1.6732	1.0161	0.8813
5	1872 kg	-0.6543	boxing	rabbit, hamster	131 kg/s	0.0858	0.7841	1.5958	-0.2886	-2.1818
5	1594 kg	1.5679	badminton	dog	431 kg/s	0.3226	0.4711	2.3318	0.1735	-1.241
2	-546 kg	-0.0402	track & field	fish	622 kg/s	0.2833	0.2983	-0.0421	0.2969	-0.4162
4	578 kg	N/A	basketball	guinea pig	1056 kg/s	-0.3391	0.6052	0.8495	0.6191	-0.8667
0	-795 kg	0.9216	motor sports	bird	1150 kg/s	0.9584	1.4235	0.566	-0.2088	0.8547
4	682 kg	0.371	basketball	guinea pig	291 kg/s	0.6037	0.8331	0.6953	-0.1	0.9588
2	408 kg	1.3599	football	fish	-1308 kg/s	1.185	0.1927	-0.9481	-0.5317	-1.3717
3	1008 kg	0.7469	tennis	rat	1910 kg/s	-0.3463	0.6325	0.2546	-0.1459	0.741
4	2167 kg	0.2934	basketball	guinea pig	-363 kg/s	0.6867	0.5046	0.3671	0.4605	1.0441
1	-1318 kg	-0.0527	baseball	pig, cat	1979 kg/s	1.3466	0.564	0.454	1.1327	-0.5997
4	-532 kg	-1.1645	golf	guinea pig	608 kg/s	0.1045	0.96	-0.3956	0.6545	0.1512
2	1704 kg	0.2407	football	fish	-178 kg/s	1.7784	1.4011	-0.8554	0.7813	1.4229
3	736 kg	1.662	tennis	RAT	-39 kg/s	-0.3288	1.4639	-0.6611	1.9253	-0.2431
3	1252 kg	0.5243	tennis	rat	1445 kg/s	0.125	1.1452	0.9367	0.754	-0.7432
3	1251 kg	1.6726	tennis	chicken	-357 kg/s	0.4682	1.0003	-1.1671	1.0067	-0.5893
3	2420 kg	0.5202	tennis	rat	1719 kg/s	0.5233	0.4078	1.6704	1.2553	0.8644
6	-61 kg	-0.0442	basketball	dog	468 kg/s	1.2114	1.5391	1.9977	0.8802	?
4	329 kg	0.6363	boxing	guinea pig	-385 kg/s	0.1437	n/a	0.3762	0.0097	0.3433
6	-237 kg	0.8044	ice hockey	dog	2240 kg/s	1.1834	0.5785	1.3587	1.3181	-1.1266
6	-657 kg	0.5765	football	dog	3404 kg/s	0.3266	1.0863	2.4001	2.2528	0.4892
0	-129 kg	0.257	boxing	bird	1551 kg/s	0.6693	-0.0182	-0.2649	0.4923	0.607
5	-229 kg	-0.9933	soccer	rabbit	-550 kg/s	0.1853	-0.2852	3.2124	0.0434	-0.1143
6	1317 kg	1.6424	ice hockey	dog	849 kg/s	0.782	-0.2999	2.0326	1.4602	1.2662
0	1150 kg	0.9551	motor sports	bird	712 kg/s	-0.4506	0.6536	-0.0547	-0.1899	-0.2898
6	1683 kg	0.2148	ice hockey	dog	246 kg/s	0.6212	0.8946	0.1287	1.8955	1.6293
6	643 kg	-0.1327	track & field	dog	-412 kg/s	1.4001	0.2827	1.3003	1.2157	0.6865
6	333 kg	NULL	ice hockey	dog	1216 kg/s	0.7583	0.8726	1.2235	0.2023	0.3619
1	-27 kg	0.4984	VOLLEYBALL	cat	1169 kg/s	0.3161	0.1945	1.1853	0.8098	0.8582
3	412 kg	-0.0253	tennis	rat	1758 kg/s	-1.6556	0.6951	1.2786	1.3349	0.9124
1	-535 kg	1.0724	VOLLEYBALL	pig	919 kg/s	0.814	1.3655	-0.2532	0.3308	1.4264
3	-759 kg	0.5753	tennis	rat	1150 kg/s	0.9886	1.4335	1.1084	0.8269	1.7747
1	351 kg	0.273	baseball	reptile, pig	1242 kg/s	0.8731	0.2681	0.2536	1.5296	0.542
1	172 kg	0.3462	tennis	pig, reptile	1852 kg/s	-0.5417	1.1902	-1.3464	0.1851	-0.4606
5	547 kg	-0.2658	?	ferret	12 kg/s	0.6902	0.4128	-0.7998	-1.0519	0.4071
6	764 kg	-0.2816	ice hockey	dog	362 kg/s	0.4282	1.2087	1.1427	1.8136	0.3921
2	2455 kg	0.5785	track & field	fish	747 kg/s	0.7972	1.0821	-0.0114	-0.188	1.8367
6	-592 kg	0.9614	ice hockey	dog	944 kg/s	1.0874	0.8134	0.255	1.4382	1.3176
6	1340 kg	1.3082	ice hockey	dog	423 kg/s	-0.0953	1.3703	0.2454	1.9632	0.4459
3	-369 kg	0.8519	tennis	chicken	303 kg/s	0.3646	0.6903	1.342	-0.8164	0.4495
0	4 kg	0.7211	running	bird	3270 kg/s	-0.0119	0.8869	-0.2399	1.362	1.0348
1	-1039 kg	-0.2893	baseball	pig	1029 kg/s	-0.2541	0.1642	-0.916	0.9276	-0.1026
3	76 kg	0.0441	tennis	rat	1286 kg/s	0.378	0.35	0.6799	0.5181	2.1627
0	-1037 kg	0.2965	running	hamster, ferret	-188 kg/s	2.2177	-0.1534	0.8077	-0.3625	1.2346
4	1501 kg	-0.6256	basketball	guinea pig	-36 kg/s	0.1695	2.9379	0.6218	-0.2367	NULL
6	1217 kg	-0.5154	tennis	dog	1300 kg/s	-0.1923	0.9207	0.6988	1.4769	1.9194
4	315 kg	1.3917	golf	guinea pig	-724 kg/s	-1.146	-0.0809	-0.2199	1.5307	1.0806
6	1874 kg	0.0402	ice hockey	Dog	933 kg/s	0.503	0.6909	0.4828	-0.0236	-1.3353
4	1437 kg	1.9795	basketball	guinea pig	-955 kg/s	0.843	1.0534	1.0041	-0.1767	1.583
2	1461 kg	n/a	football	fish	-281 kg/s	1.2185	0.2038	-0.7241	0.9233	0.0472
3	-1164 kg	0.6876	tennis	chicken	1795 kg/s	0.8535	1.2939	-2.1968	0.4373	-1.2466
6	-608 kg	NULL	ICE HOCKEY	dog	1200 kg/s	-0.6681	n/a	-0.126	0.3609	1.0066
1	1412 kg	1.1815	baseball	cat	1066 kg/s	-0.2945	1.2392	0.7032	-0.0036	-0.3415
1	960 kg	0.5843	Baseball	pig	580 kg/s	0.8931	0.8989	?	1.2526	1.0106
5	1512 kg	0.2658	volleyball	ferret, hamster	559 kg/s	0.3589	0.1947	1.9492	0.3449	0.3991
2	321 kg	1.3023	football	fish	953 kg/s	0.0377	1.4915	-1.2854	-0.1548	-0.9579
5	-660 kg	0.3127	soccer	ferret	-1286 kg/s	-0.0725	1.5586	1.3491	1.1319	0.1427
3	2455 kg	1.6542	tennis	chicken	386 kg/s	-0.4804	1.5485	-0.5203	0.5712	-0.0462
3	1773 kg	-0.0716	tennis	chicken	1401 kg/s	0.3113	0.5871	-1.3563	1.3916	-0.2609
2	-556 kg	-0.7473	track & field	fish	-711 kg/s	1.5204	0.4655	2.1269	0.1807	0.1658
1	39 kg	0.387	running	reptile, cat	1856 kg/s	0.9377	1.3695	0.6885	1.3962	-0.1874
6	-116 kg	1.2915	ice hockey	dog	-561 kg/s	0.5342	1.4304	0.5468	0.7795	1.5264
1	285 kg	0.4647	volleyball	pig	None	0.6188	1.7917	-0.1807	-1.3827	-0.1253
1	390 kg	-0.0474	volleyball	pig	1864 kg/s	1.5537	0.0473	1.1578	1.7463	0.5968
5	1460 kg	1.6338	badminton	rabbit, ferret	-1101 kg/s	-0.8715	1.3509	0.8687	-1.3347	0.8492
0	-657 kg	0.0614	motor sports	bird	185 kg/s	1.0622	1.1851	2.69	-0.0621	0.7094
0	1159 kg	0.1281	motor sports	bird	1774 kg/s	0.1126	0.6881	1.5667	0.2103	0.2095
0	193 kg	0.911	motor sports	bird	-143 kg/s	0.0209	-0.1598	-2.6216	-0.4905	1.0233
6	-122 kg	-0.7554	ice hockey	dog	29 kg/s	1.3217	0.7591	1.975	1.2302	
3	987 kg	0.1476	tennis	rat	1174 kg/s	-0.1472	1.0882	-0.1626	1.705	-0.7039
6	1088 kg	-0.2138	Ice Hockey	dog	1034 kg/s	0.4214	0.7225	1.3798	2.1588	-0.2842
2	-711 kg	0.1472	volleyball	fish	985 kg/s	0.2262	0.6992	1.4572	0.1021	1.4233
0	933 kg	0.5466	running	bird	2404 kg/s	0.1028	0.7806	1.5367	0.0077	-0.0848
5	899 kg	0.6427	boxing	ferret	214 kg/s	0.2527	1.9638	0.7577	1.6023	0.04
2	-703 kg	-0.8357	track & field	fish	1391 kg/s	0.2607	0.8828	-1.6409	-1.4065	-0.682
6	1162 kg	-0.2	ice hockey	bird	508 kg/s	-0.9155	0.4602	-0.2335	0.121	0.1444
2	611 kg	0.326	football	fish	257 kg/s	0.9937	1.3914	1.4916	0.682	0.9145
2	-739 kg	0.7706	track & field	fish	-40 kg/s	1.0532	1.5553	0.4747	-1.998	1.2381
0	-589 kg	0.3913	running	bird	-1026 kg/s	-0.2755	-0.1277	N/A	0.531	2.4889
0	105 kg	1.0378	motor sports	hamster	-575 kg/s	-0.0027	-0.0999	1.4492	-0.4786	0.6127
0	-967 kg	-0.0588	motor sports	bird	?	0.0251	0.2923	1.9741	-0.3707	0.2852
3	98 kg	0.6385	tennis	chicken	2067 kg/s	0.6854	1.0004	-2.3977	2.8428	-0.4118
4	N/A	1.6059	basketball	guinea pig	-99 kg/s	0.5867	1.7845	-1.2232	-0.7183	-0.3549
4	-1032 kg	0.97	golf	guinea pig	-841 kg/s	0.0061	0.5707	0.8002	1.4242	1.0231
4	617 kg	0.7896	basketball	guinea pig	1465 kg/s	0.6529	1.7532	0.7067	0.6212	0.4997
6	254 kg	0.5028	ice hockey	DOG	582 kg/s	1.3336	0.4779	0.6689	1.3018	1.6054
4	759 kg	0.6584	basketball	guinea pig	-303 kg/s	-0.4184	1.526	-1.9029	0.9253	0.8939
4	1614 kg	0.2512	golf	guinea pig	-842 kg/s	1.102	1.6009	0.4677	0.3331	0.5744
1	578 kg	0.3381	volleyball	reptile, cat	558 kg/s	0.4392	0.6064	0.6138	0.7455	0.8971
0	1230 kg	1.0568	running	bird	-1096 kg/s	1.4875	1.0424	1.0352	0.5734	1.5689
5	375 kg	0.7253	boxing	rabbit	-1034 kg/s	-0.2407	0.5304	-0.7437	-0.0187	-0.9786
3	-606 kg	-0.9344	tennis	chicken	176 kg/s	0.0757	0.9662	-1.2633	1.0955	1.7764
1	65 kg	0.8987	baseball	pig, reptile	590 kg/s	0.4887	-1.5008	-2.1339	-0.0675	-0.2502
3	567 kg	1.058	baseball	chicken	1212 kg/s	0.1718	1.025	-0.0718	0.6642	1.4231
5	1256 kg	0.0285	badminton	hamster	848 kg/s	0.1733	0.2809	1.3478	-0.3951	1.1015
2	-423 kg	N/A	track & field	fish	1815 kg/s	1.3794	1.1598	0.5966	-0.248	?
0	2201 kg	2.0738	running	bird	817 kg/s	0.8784	1.8388	-0.2079	0.1883	-0.6983
0	306 kg	0.7624	running	bird	-884 kg/s	0.2661	1.0162	0.0396	0.0189	0.214
5	240 kg	0.5692	boxing	rabbit, hamster	1750 kg/s	-0.6796	0.2698	1.7482	0.7294	0.1491
5	-671 kg	1.2367	boxing	rabbit	-925 kg/s	0.3473	0.3338	1.9024	1.0852	1.0953
4	-443 kg	0.2353	golf	guinea pig	2015 kg/s	0.4805	0.5251	-0.9037	2.2879	0.0806
5	-2331 kg	1.8217	badminton	HAMSTER, FERRET	-999 kg/s	-0.238	1.5063	1.9467	0.6378	-0.6815
6	742 kg	-0.5895	ice hockey	dog	1052 kg/s	0.4065	1.0068	-0.1693	1.0029	-0.25
3	786 kg	1.2299	tennis	chicken	1627 kg/s	-1.0297	0.9536	-0.5173	0.9044	0.9255
0	2205 kg	0.9172	tennis	bird	904 kg/s	0.3373	0.0914	0.8487	0.7309	1.4269
3	471 kg	-0.6036	tennis	rat	-954 kg/s	0.0987	1.1548	1.2306	1.4692	1.1743
2	-899 kg	0.1185	football	fish	527 kg/s	0.8866	1.3387	-1.5241	2.2998	0.6153
0	1034 kg	-1.2178	MOTOR SPORTS	bird	1625 kg/s	0.5222	-0.8458	-0.0439	-0.6118	1.507
1	2433 kg	0.8151	volleyball	pig	1246 kg/s	0.658	1.7869	1.0336	0.6688	0.5714
0	-466 kg	-0.2168	motor sports	bird	1020 kg/s	0.304	0.8197	2.4854	-0.2873	2.8023
6	-894 kg	1.1398	ice hockey	bird	795 kg/s	1.6683	1.3655	0.7856	1.0746	2.1892
1	-1180 kg	-0.2564	volleyball	pig, reptile	528 kg/s	1.3	-0.0832	1.6898	1.4258	0.5464
3	-197 kg	0.9085	tennis	chicken	1363 kg/s	-0.1598	-0.1824	-0.0839	1.3758	1.7475
0	937 kg	0.1421	running	bird	972 kg/s	0.994	0.3235	0.1469	0.5659	0.9422
2	871 kg	0.8887	football	fish	1823 kg/s	1.024	-0.4512	0.1906	1.2707	0.5884
2	2235 kg	0.6106	track & field	fish	341 kg/s	0.5336	1.1803	0.7954	0.2772	0.1926
6	-128 kg	0.9163	ice hockey	dog	-164 kg/s	1.9193	1.6842	0.1135	0.8807	0.5131
2	431 kg	0.25	track & field	fish	636 kg/s	0.9555	1.6753	1.4864	1.1012	0.7437
5	117 kg	-0.0752	boxing	rabbit	981 kg/s	0.5103	-0.3205	2.0298	-0.612	0.4854
6	761 kg	-0.3631	ice hockey	NULL	141 kg/s	0.5314	0.2271	-0.9245	-0.6332	-0.7551
6	1069 kg	0.8525	ice hockey	dog	-315 kg/s	n/a	0.3122	0.5636	0.5608	-0.8807
0	-1790 kg	1.3572	running	bird	417 kg/s	-0.4643	1.8379	2.0879	0.1906	1.3284
4	-793 kg	0.2625	golf	guinea pig	714 kg/s	0.4371	1.1918	1.2832	-0.0938	2.57
1	881 kg	-0.2747	baseball	pig	2554 kg/s	1.0099	0.031	0.648	0.7138	0.9821
1	1164 kg	-0.1236	volleyball	pig	972 kg/s	-0.7352	0.441	1.0542	2.2547	1.0183
6	1411 kg	0.4773	ice hockey	dog	-480 kg/s	0.7666	1.0329	2.8509	0.3131	0.7137
1	185 kg	-0.4735	baseball	cat	297 kg/s	1.0524	0.0835	-1.1291	0.9698	1.1203
2	2456 kg	-1.189	badminton	fish	1050 kg/s	-0.9987	0.0965	-1.1805	0.0678	0.4924
5	530 kg	-0.7404	soccer	rabbit	-911 kg/s	0.3289	1.0006	0.2357	1.348	-1.3746
1	1203 kg	-0.8041	golf	pig	539 kg/s	0.9182	N/A	0.346	-0.0241	3.3312
5	231 kg	0.4568	BADMINTON	rabbit, ferret	733 kg/s	-0.5682	-0.8073	1.069	-0.0809	0.9534
6	377 kg	1.1252	ice hockey	reptile	1500 kg/s	-0.5175	2.126	1.3663	0.7588	-0.5866
6	672 kg	0.1595	ice hockey	dog	-71 kg/s	0.4362	1.571	1.6288	1.1029	1.4552
6	-692 kg	1.4191	ice hockey	dog	1654 kg/s	-0.2394	0.9254	-0.1038	1.2199	0.1608
4	28 kg	-0.3249	basketball	guinea pig	-108 kg/s	0.7913	0.2552	0.8691	0.8257	1.0256
4	534 kg	0.2654	golf	guinea pig	-694 kg/s	0.1635	0.3995	0.4116	0.4208	0.5861
3	1099 kg	0.7368	tennis	rat	2517 kg/s	0.0077	-0.0993	0.1756	0.244	0.8987
4	-359 kg	-0.1487	golf	None	-68 kg/s	1.022	0.5759	3.2038	0.5814	2.05
0	18 kg	-0.8152	running	bird	649 kg/s	-0.7248	0.2288	0.3604	0.8546	1.2818
3	-256 kg	1.6765	tennis	rat	-667 kg/s	-0.3707	1.4975	1.221	0.3743	0.4118
4	-356 kg	1.603	golf	guinea pig	-888 kg/s	-0.3767	1.194	1.4874	0.6158	-0.4997
1	919 kg	0.7302	basketball	cat	761 kg/s	0.5649	0.6333	-0.1119	-0.1618	0.1263
2	412 kg	0.1916	football	fish	250 kg/s	0.9247	0.1698	0.198	N/A	-1.9736
4	787 kg	0.9254	NULL	guinea pig	71 kg/s	-0.5449	0.9903	0.6394	1.7508	-0.0076
6	-4 kg	0.0046	ice hockey	n/a	1211 kg/s	0.4137	1.4324	-0.2489	1.6223	-0.5733
2	1554 kg	0.0635	track & field	fish	616 kg/s	-0.1481	0.2659	0.1571	-0.1119	1.1084
1	-516 kg	0.564	volleyball	reptile, cat	590 kg/s	0.5674	1.0753	-1.3386	1.963	-0.0722
0	-109 kg	-0.1686	running	bird	903 kg/s	0.6799	1.5376	1.6907	-0.9131	-0.858
3	1639 kg	0.3544	tennis	rat	1974 kg/s	-0.334	1.9073	-0.1936	0.2669	0.2082
5	396 kg	0.7438	badminton	ferret	1025 kg/s	-0.1319	0.5535	0.6115	0.4487	2.2801
4	1477 kg	1.6102	golf	guinea pig	-500 kg/s	-0.302	0.7181	-0.3871	0.8806	2.2478
3	833 kg	-0.0708	motor sports	chicken	1542 kg/s	0.0106	0.9102	-1.5643	-1.0731	0.4128
2	127 kg	-0.0907	track & field	fish	-1033 kg/s	-0.9105	1.0647	0.1457	0.491	-0.7448
4		0.9489	golf	guinea pig	20 kg/s	-0.535	0.1808	0.4837	0.9076	1.5534
1	-1454 kg	0.9726	basketball	pig, reptile	1690 kg/s	0.2799	1.4695	-0.9311	2.5533	0.5302
3	1239 kg	0.0331	tennis	chicken	-770 kg/s	0.662	1.0744	-1.6158	1.3526	-0.2742
3	732 kg	-0.0543	tennis	chicken	1415 kg/s	0.4461	1.0534	2.0729	0.0965	1.5976
1	909 kg	-0.0521	volleyball	pig, reptile	-93 kg/s	0.1266	0.2183	0.0441	1.3824	-1.4451
1	655 kg	1.829	volleyball	pig	602 kg/s	1.4054	1.3218	1.8665	0.1817	1.4781
0	1925 kg	0.3177	running	bird	-630 kg/s	-0.2125	0.3744	NULL	0.0633	0.9751
5	-1081 kg	1.2456	soccer	rabbit, hamster	958 kg/s	-0.3331	0.5061	0.8616	-0.8159	0.0627
3	698 kg	0.5737	TENNIS	chicken	-172 kg/s	-0.1341	0.7475	0.9744	1.9347	1.3032
2	795 kg	1.2034	track & field	fish	-365 kg/s	-0.1261	1.8529	0.5124	0.3455	0.068
4	498 kg	2.0003	golf	guinea pig	652 kg/s	0.0859	1.1353	1.2504	1.0251	1.3915
4	699 kg	-1.4306	basketball	guinea pig	-1490 kg/s	0.4472	1.9925	0.7136	0.3495	0.9934
4	-174 kg	0.4468	basketball	guinea pig	1373 kg/s	0.7472	0.7152	0.7968	1.0015	0.4762
5	53 kg	0.6028	soccer	rabbit, ferret	-360 kg/s	0.7686	0.6859	0.7886	-0.1735	0.7164
2	872 kg	1.1826	track & field	fish	228 kg/s	2.1703	0.5225	-0.8858	0.57	0.5253
5	531 kg	1.4388	badminton	hamster	520 kg/s	0.3066	0.4371	-0.0736	0.9019	-0.4754
6	140 kg	1.1946	ice hockey	dog	356 kg/s	1.4403	1.3175	0.4752	-0.3944	-0.7866
5	-631 kg	1.7669	badminton	hamster, rabbit	525 kg/s	-0.5203	0.1124	1.826	-0.1485	-0.2009
3	1548 kg	0.9334	tennis	chicken	2027 kg/s	0.6129	1.736	-0.0559	-0.1389	0.617
4	896 kg	0.8923	golf	guinea pig	-1555 kg/s	-0.6856	0.7861	0.4065	0.4586	0.3689
